firstNames,familyName,program,id,idString,password,username,isTeacher,isAdmin,isStudent
Miitro Jauri Miroslav,Ruunu,RAN,1008,utu:1008,mr1234,mijami,1,1,1
Mustikka Kinga,Matthews,YRI,1016,utu:1016,mm1234,mukima,1,0,1
Kebba Nico Farhang,Kotanen,KIE2,1020,utu:1020,kk1234,kenifa,0,1,1
Eewert Harri-Juhani,Ylikantola,MED2,1025,utu:1025,ey1234,eehaju,0,0,1
Huvi Orges,Kelander,JOH,1027,utu:1027,hk1234,huorke,0,0,1
Sumaia Jinni Adebola,Bruce,SUO,1036,utu:1036,sb1234,sujiad,0,0,1
Evelyne Lotta-Mari,Bonsdorff,SUO2,1042,utu:1042,eb1234,evloma,0,0,1
Risto-Sakari,Kuja-Penttilä,JOH2,1051,utu:1051,rk1234,risaku,0,0,1
Aleksandrovich Raihan,Silfversten,MED2,1059,utu:1059,as1234,alrasi,0,0,1
Maria,Moilala,TAL2,1060,utu:1060,mm1234,mamoil,0,0,1
Ihana Marijana Sapphire,Ridberg,TIE4,1066,utu:1066,ir1234,ihmasa,0,0,1
Pouria Firat Reini,Ahto,ESP,1070,utu:1070,pa1234,pofire,0,0,1
Pirjo-Leena Jenilla,Markkinen,POL3,1075,utu:1075,pm1234,pileje,0,0,1
Niisa Tahmina,Nygård,OIK,1083,utu:1083,nn1234,nitany,0,0,1
Nickolas Karem Nicolás,Valtamo,KIE2,1090,utu:1090,nv1234,nikani,0,0,1
Emeli Matroona Melise,Stenbacka,FYS,1092,utu:1092,es1234,emmame,0,0,1
Mathea,Koittola,ITA,1093,utu:1093,mk1234,makoit,0,0,1
Lemoni Askontytär Maaruska,Honni,KAS4,1100,utu:1100,lh1234,leasma,0,0,1
Karinpoika Pette Owe,Bäcksbacka,KIR,1104,utu:1104,kb1234,kapeow,0,0,1
Terri Fox Riiko,Raikonen,BIO4,1106,utu:1106,tr1234,tefori,0,0,1
Tamás,Sadeharju,TEO,1112,utu:1112,ts1234,tasade,0,0,1
Elga Eylül Runo,Kellokangas,TIE3,1118,utu:1118,ek1234,eleyru,0,0,1
Sinimarja Madleena Anriina,Ajakainen,TIL,1123,utu:1123,sa1234,simaan,0,0,1
Merlin Niko Yiu,Sarnikorpi,ENG,1127,utu:1127,ms1234,meniyi,0,0,1
Jan-Daniel Tancred,Raittinen,TUR,1132,utu:1132,jr1234,jadata,0,0,1
Onome Iida-Anniina,Etzell,POL3,1133,utu:1133,oe1234,oniian,0,0,1
Mysi Liisa-Marja,von Rettig,SUO2,1140,utu:1140,mv1234,mylima,0,0,1
Dánel Saim,Ylieskola,BIO3,1148,utu:1148,dy1234,dnsayl,0,0,1
Raita Cassandra Malalai,Hätelä,MAR2,1151,utu:1151,rh1234,racama,0,0,1
Winston Oskari Phoenix,Vehkajärvi,POL3,1160,utu:1160,wv1234,wiosph,0,0,1
Ronn Beat Sattar,Karmakka,KUL3,1162,utu:1162,rk1234,robesa,0,0,1
Anissa,Pöytäkivi,ITA,1166,utu:1166,ap1234,anpytk,0,0,1
Bee Lynn Tarina,Junttila,TER,1168,utu:1168,bj1234,belyta,0,0,1
Heikki-Johannes Baker,Morgan,KIE,1171,utu:1171,hm1234,hejoba,0,0,1
Yuk Roosa-Emilia,Kultala,LUO,1176,utu:1176,yk1234,yuroem,0,0,1
Borhan,Isteri,KAS5,1177,utu:1177,bi1234,boiste,0,0,1
Nahida Sana Farideh,Rohkimainen,TIE6,1178,utu:1178,nr1234,nasafa,0,0,1
Rauni Nico,Puhto,KLA,1182,utu:1182,rp1234,ranipu,0,0,1
Fabricio Maksim Jensen,Kallberg,KIE2,1187,utu:1187,fk1234,famaje,0,0,1
Viktorinna Ilene Naser,Uddström,SUO4,1193,utu:1193,vu1234,viilna,0,0,1
Sharmake Khanh Sayd,Auvinen,SOS3,1203,utu:1203,sa1234,shkhsa,0,0,1
Inmar Suheil Fethi,Ylä-Viteli,SUO2,1213,utu:1213,iy1234,insufe,0,0,1
Clementine Abdalla,Liu,INT,1219,utu:1219,cl1234,clabli,0,0,1
Misa Sissi Mustaf,Sibelius,KLA,1223,utu:1223,ms1234,misimu,0,0,1
Per-Eric Mosku,Hohkuri,GEO2,1233,utu:1233,ph1234,peermo,0,0,1
Aziz Merja-Liisa,Hautajärvi,KAU2,1239,utu:1239,ah1234,azmeli,0,0,1
Keimo,Lane,BIO5,1246,utu:1246,kl1234,kelane,0,0,1
Nanny Salla-Maija,Ikkelä,SOS,1256,utu:1256,ni1234,nasama,0,0,1
Abdikarin Maysa Sunneva,Alha,RAN,1257,utu:1257,aa1234,abmasu,0,0,1
Juho-Otto Mielo,Apajalahti,KLA,1258,utu:1258,ja1234,juotmi,0,0,1
